FID,Scientific,Longitude,Latitude
1,Rumex,69.5,35.25
2,Rumex,70.07,34.93
3,Rumex,70.25,35
4,Rumex,70.282545,34.739147
5,Rumex,70.37,34.87
6,Rumex,70.556715,34.535805
7,Rumex,70.62,34.73
8,Rumex,70.73,34.85
9,Rumex,70.85,34.75
10,Rumex,71,35.25
11,Rumex,71.02,34.75
12,Rumex,71.13,34.87
13,Rumex,71.33,35.65
14,Rumex,71.35,35.1
15,Rumex,71.47,35.17
16,Rumex,71.67,34.02
17,Rumex,71.7,35.75
18,Rumex,71.78,35.55
19,Rumex,71.93,34.43
20,Rumex,71.95,35.95
21,Rumex,71.95,34.57
22,Rumex,72.5,35.333333
23,Rumex,72.95,34.75
24,Rumex,73,34.5
25,Rumex,73.08,34.6
26,Rumex,73.42,34.05
27,Rumex,73.42,33.92
28,Rumex,73.5,35.58
29,Rumex,73.58,34.68
30,Rumex,73.95,36.1
31,Rumex,74,35
32,Rumex,74.03,35.3
33,Rumex,74.13,33.77
34,Rumex,74.22,35.85
35,Rumex,74.25,36.1
36,Rumex,74.33,36.25
37,Rumex,74.52,35.53
38,Rumex,74.6,35.67
39,Rumex,74.63,35.55
40,Rumex,74.63,35.43
41,Rumex,74.82,34.08
42,Rumex,77.101366,30.984541
43,Rumex,77.18194444,31.1
44,Rumex,77.20253,30.952508
45,Rumex,77.694947,30.751332
46,Rumex,77.916069,30.080235
47,Rumex,78.047337,30.470951
48,Rumex,78.314415,30.173337
49,Rumex,78.429008,31.609469
50,Rumex,78.76694444,30.15
51,Rumex,78.820285,31.045682
52,Rumex,79.48,29.5
53,Rumex,79.5277,29.3523
54,Rumex,79.586844,29.440772
55,Rumex,80.25,30.17
56,Rumex,80.51027778,29.52222222
57,Rumex,80.75000278,29.00000278
58,Rumex,80.76861111,29.09805556
59,Rumex,80.84444444,29.78333333
60,Rumex,80.985833,29.266389
61,Rumex,81.21916667,29.56888889
62,Rumex,81.46777778,28.8125
63,Rumex,81.58583333,29.43722222
64,Rumex,81.63194444,28.73555556
65,Rumex,81.687284,30.047515
66,Rumex,82.02,28.48833333
67,Rumex,82.12805556,29.23138889
68,Rumex,82.15444444,29.48861111
69,Rumex,82.57777778,28.15361111
70,Rumex,82.67277778,28.12861111
71,Rumex,82.755,28.36666667
72,Rumex,82.82027778,28.98222222
73,Rumex,82.833333,28.833333
74,Rumex,83.23527778,28.05777778
75,Rumex,83.25416667,27.61694444
76,Rumex,83.31194444,27.96027778
77,Rumex,83.50277778,27.86666667
78,Rumex,83.57666667,28.25555556
79,Rumex,83.80527778,28.34944444
80,Rumex,83.82805556,28.93222222
81,Rumex,85.33305556,27.62388889
84,Rumex,97.47,28.67
85,Rumex,97.792107,24.182962
86,Rumex,98.911543,28.48611
87,Rumex,98.9435261,27.9136936
88,Rumex,99.0655864,29.4533455
89,Rumex,99.07027778,29.58138889
90,Rumex,99.1,30
91,Rumex,99.1966161,28.267953
92,Rumex,99.28,28.71
93,Rumex,99.28717,27.177166
94,Rumex,99.2943905,28.5738588
95,Rumex,99.4304696,27.7771584
96,Rumex,99.54124,25.464684
97,Rumex,99.706013,27.82308
98,Rumex,99.79929,28.932073
